category	term	goseq_p	goseq_padj	hyper_p	hyper_padj
GO:0031342	negative regulation of cell killing	6.372296194447576e-5	0.005723135467234491	6.288778505680607e-5	0.004964354879402298
GO:0040017	positive regulation of locomotion	6.419656846737938e-5	0.005741240568103852	9.0321261083525e-5	0.006801972215632047
GO:0042267	natural killer cell mediated cytotoxicity	7.23012263905623e-5	0.006331907403316215	2.7662542708606405e-5	0.0024667474812872106
GO:2000145	regulation of cell motility	7.409082355663015e-5	0.006461821991678661	1.7833509494513783e-4	0.012267756102749813
GO:0036037	CD8-positive, alpha-beta T cell activation	7.64578124392474e-5	0.006640817240093645	7.977876011694094e-5	0.006205742441604669
GO:0007156	homophilic cell adhesion via plasma membrane adhesion molecules	7.804969605659199e-5	0.006751298708895207	6.020218051185498e-4	0.03294245074523701
GO:0019748	secondary metabolic process	7.913651138734859e-5	0.006817368201393385	5.121906296468676e-5	0.004240079591254919
GO:0010817	regulation of hormone levels	8.109806196971865e-5	0.006957949983466999	9.084219977133158e-5	0.006801972215632047
GO:0045216	cell-cell junction organization	8.242663354925599e-5	0.007043305780123873	2.7396525674263907e-4	0.017207400430018102
GO:0002705	positive regulation of leukocyte mediated immunity	8.436559822562141e-5	0.007179920629636957	3.5487079902941584e-5	0.0030882310619150246
GO:0030449	regulation of complement activation	8.840103585765832e-5	0.007405307616910578	6.138388194323037e-5	0.004872261310724758
GO:0042403	thyroid hormone metabolic process	8.841739408042574e-5	0.007405307616910578	1.2779616122990303e-4	0.009323956288521106
GO:0006590	thyroid hormone generation	8.995253167202861e-5	0.007504103294347177	1.8845227250061303e-4	0.012603618187703038
GO:0002710	negative regulation of T cell mediated immunity	9.155005049000939e-5	0.007607304589142277	8.202805358234696e-5	0.0062367224318451795
GO:0045785	positive regulation of cell adhesion	1.0120338277228896e-4	0.008376465085458551	1.752386234221764e-4	0.012223848834627108
GO:0050665	hydrogen peroxide biosynthetic process	1.0383196396798808e-4	0.008539715147500293	1.238837664466118e-4	0.00908439030501398
GO:0002820	negative regulation of adaptive immune response	1.043191897896616e-4	0.008539715147500293	9.588032308126494e-5	0.007103011011445915
GO:0030334	regulation of cell migration	1.0687570980772038e-4	0.008689626599881635	2.485790190543016e-4	0.01581926215532353
GO:0006145	purine nucleobase catabolic process	1.0704552809481782e-4	0.008689626599881635	1.9878246571334261e-4	0.01311238127714588
GO:0050793	regulation of developmental process	1.1131255500637916e-4	0.009001389984538845	7.378769291548936e-4	0.039045311789639534
GO:0002322	B cell proliferation involved in immune response	1.1536516158472209e-4	0.009293500383233375	1.5784376640563146e-4	0.01117750514458702
GO:0002775	antimicrobial peptide production	1.2088954647051687e-4	0.009614863113682526	5.517651538818559e-5	0.004477977198301848
GO:0002778	antibacterial peptide production	1.2088954647051687e-4	0.009614863113682526	5.517651538818559e-5	0.004477977198301848
GO:0001915	negative regulation of T cell mediated cytotoxicity	1.2117661272811296e-4	0.009614863113682526	1.3244272938382624e-4	0.009471622122172048
GO:0050868	negative regulation of T cell activation	1.3042300027762353e-4	0.010309767205466374	9.087502683213242e-5	0.006801972215632047
GO:0090132	epithelium migration	1.33154172022014e-4	0.010486387890659057	3.0129991948500733e-4	0.018680595008070455
GO:0022408	negative regulation of cell-cell adhesion	1.3448603215786457e-4	0.010550436852710912	1.291359602710206e-4	0.009374362221483233
GO:2000147	positive regulation of cell motility	1.349672107567491e-4	0.010550436852710912	1.8088309143943305e-4	0.012325646881764386
GO:0002407	dendritic cell chemotaxis	1.3703444285390653e-4	0.01067250535378063	5.819145132480121e-5	0.004670187254655991
GO:0043368	positive T cell selection	1.4086423279639968e-4	0.010930443005150043	2.1563174753523373e-4	0.01403160461663958
GO:0002274	myeloid leukocyte activation	1.425976897051972e-4	0.010995407017756255	6.090263171488543e-5	0.004860770263830028
GO:1905940	negative regulation of gonad development	1.4400261615809702e-4	0.011052069878664712	1.9878246571334261e-4	0.01311238127714588
GO:0002456	T cell mediated immunity	1.5126495519230277e-4	0.011553673503872588	8.118638443274748e-5	0.006224667303028587
GO:0006911	phagocytosis, engulfment	1.5163306929653686e-4	0.011553673503872588	1.7685064422241902e-4	0.012223848834627108
GO:0002921	negative regulation of humoral immune response	1.6357146956360655e-4	0.012418487182048488	1.8845227250061303e-4	0.012603618187703038
GO:0061844	antimicrobial humoral immune response mediated by antimicrobial peptide	1.8060834325929167e-4	0.013649075102311553	2.9898182175815526e-6	3.348132865983187e-4
GO:0032609	type II interferon production	1.8172036879321267e-4	0.013649075102311553	8.033184525682356e-5	0.006205742441604669
GO:0032649	regulation of type II interferon production	1.8172036879321267e-4	0.013649075102311553	8.033184525682356e-5	0.006205742441604669
GO:0048729	tissue morphogenesis	1.8657455254161674e-4	0.013963980517529657	5.339254540188637e-4	0.030129246518580097
GO:0050867	positive regulation of cell activation	1.9137164349001683e-4	0.014272402500001044	1.76414146137178e-4	0.012223848834627108
