category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology	padj
GO:0045485	0.9999999999823856	0.9511717431733033	0	1	omega-6 fatty acid desaturase activity	MF	1
GO:0062076	0.9999999999823856	0.9511717431733033	0	1	acyl-CoA (8-3)-desaturase activity	MF	1
GO:0070704	0.9999999999823856	0.9511717431733033	0	1	sterol desaturase activity	MF	1
GO:0090032	0.9999999999824027	0.7743736565464416	0	5	negative regulation of steroid hormone biosynthetic process	BP	1
GO:0071545	0.999999999982433	0.9052346698597538	0	2	inositol phosphate catabolic process	BP	1
GO:0033591	0.9999999999824364	0.7290514142672566	0	5	response to L-ascorbic acid	BP	1
GO:0033142	0.9999999999824418	0.9045932786355162	0	2	nuclear progesterone receptor binding	MF	1
GO:0036304	0.9999999999824435	0.8846300007502242	0	2	umbilical cord morphogenesis	BP	1
GO:0061027	0.9999999999824435	0.8846300007502242	0	2	umbilical cord development	BP	1
GO:0032601	0.9999999999824524	0.9062533269251841	0	2	connective tissue growth factor production	BP	1
GO:0032643	0.9999999999824524	0.9062533269251841	0	2	regulation of connective tissue growth factor production	BP	1
GO:0003865	0.9999999999824758	0.9048085396234825	0	2	3-oxo-5-alpha-steroid 4-dehydrogenase activity	MF	1
GO:0033765	0.9999999999824758	0.9048085396234825	0	2	steroid dehydrogenase activity, acting on the CH-CH group of donors	MF	1
GO:0047751	0.9999999999824758	0.9048085396234825	0	2	3-oxo-5-alpha-steroid 4-dehydrogenase (NADP+) activity	MF	1
GO:0051459	0.9999999999824957	0.678544802871448	0	5	regulation of corticotropin secretion	BP	1
GO:0016603	0.9999999999824968	0.8556072697489367	0	2	glutaminyl-peptide cyclotransferase activity	MF	1
GO:0017186	0.9999999999824968	0.8556072697489367	0	2	peptidyl-pyroglutamic acid biosynthetic process, using glutaminyl-peptide cyclotransferase	BP	1
GO:0015734	0.9999999999825089	0.7425163733778484	0	6	taurine transmembrane transport	BP	1
GO:0042918	0.9999999999825089	0.7425163733778484	0	6	alkanesulfonate transmembrane transport	BP	1
GO:1903515	0.9999999999825095	0.9073975032397529	0	2	calcium ion transport from cytosol to endoplasmic reticulum	BP	1
GO:0071916	0.999999999982516	0.7894392528861731	0	4	dipeptide transmembrane transporter activity	MF	1
GO:2000548	0.9999999999825214	0.9010514048105529	0	1	negative regulation of dendritic cell dendrite assembly	BP	1
GO:0035976	0.9999999999825276	0.6783101520070988	0	6	transcription factor AP-1 complex	CC	1
GO:0048210	0.999999999982532	0.885892757829375	0	2	Golgi vesicle fusion to target membrane	BP	1
GO:0140494	0.9999999999825326	0.775793801741113	0	5	migrasome	CC	1
GO:0004488	0.9999999999825365	0.8067380835768313	0	4	methylenetetrahydrofolate dehydrogenase (NADP+) activity	MF	1
GO:0061519	0.9999999999825566	0.852904959576193	0	3	macrophage homeostasis	BP	1
GO:0008520	0.9999999999825812	0.8843028427308468	0	2	L-ascorbate:sodium symporter activity	MF	1
GO:0015229	0.9999999999825812	0.8843028427308468	0	2	L-ascorbic acid transmembrane transporter activity	MF	1
GO:0015882	0.9999999999825812	0.8843028427308468	0	2	L-ascorbic acid transmembrane transport	BP	1
GO:0032074	0.9999999999825844	0.7705790966100262	0	4	negative regulation of nuclease activity	BP	1
GO:0051936	0.9999999999825899	0.9044326597068768	0	2	gamma-aminobutyric acid reuptake	BP	1
GO:1990048	0.999999999982621	0.7333895762115578	0	6	anterograde neuronal dense core vesicle transport	BP	1
GO:0140647	0.9999999999826217	0.940472880890556	0	1	P450-containing electron transport chain	BP	1
GO:0090186	0.9999999999826327	0.7203000955504609	0	6	regulation of pancreatic juice secretion	BP	1
GO:0002125	0.9999999999826669	0.874040154564096	0	2	maternal aggressive behavior	BP	1
GO:1990626	0.9999999999826751	0.9028004846479664	0	1	mitochondrial outer membrane fusion	BP	1
GO:0003941	0.9999999999827176	0.8157882651587065	0	3	L-serine ammonia-lyase activity	MF	1
GO:0120508	0.9999999999827236	0.9075192235425227	0	2	GDP-mannose pyrophosphorylase complex	CC	1
GO:0140949	0.9999999999827358	0.7991690551720936	0	4	histone H3K9 trimethyltransferase activity	MF	1
GO:1990680	0.9999999999827442	0.8680726799583478	0	2	response to melanocyte-stimulating hormone	BP	1
GO:0016728	0.9999999999827524	0.7304175090891516	0	5	oxidoreductase activity, acting on CH or CH2 groups, disulfide as acceptor	MF	1
GO:0021943	0.9999999999827525	0.814613390323584	0	4	formation of radial glial scaffolds	BP	1
GO:0032075	0.9999999999827709	0.76215660938918794	0	4	positive regulation of nuclease activity	BP	1
GO:0032077	0.9999999999827709	0.76215660938918794	0	4	positive regulation of deoxyribonuclease activity	BP	1
GO:0016561	0.9999999999827892	0.7940924093902876	0	4	protein import into peroxisome matrix, translocation	BP	1
GO:1902491	0.9999999999828184	0.9023537779970965	0	1	negative regulation of sperm capacitation	BP	1
GO:0010795	0.9999999999828494	0.8924488478585992	0	2	regulation of ubiquinone biosynthetic process	BP	1
GO:0005954	0.9999999999828764	0.769758879701211	0	5	calcium- and calmodulin-dependent protein kinase complex	CC	1
GO:0006526	0.9999999999828926	0.8131099827655965	0	4	L-arginine biosynthetic process	BP	1
GO:0150002	0.9999999999829114	0.9029928943294725	0	2	distal dendrite	CC	1
GO:0034242	0.9999999999829129	0.7781122240959383	0	4	negative regulation of syncytium formation by plasma membrane fusion	BP	1
GO:0008440	0.9999999999829329	0.7936125970125386	0	4	inositol-1,4,5-trisphosphate 3-kinase activity	MF	1
GO:0021965	0.9999999999829431	0.9077292634699148	0	2	spinal cord ventral commissure morphogenesis	BP	1
GO:0070012	0.9999999999829438	0.9077307208684603	0	2	oligopeptidase activity	MF	1
GO:0098970	0.9999999999829512	0.7788827625439703	0	5	postsynaptic neurotransmitter receptor diffusion trapping	BP	1
GO:0099628	0.9999999999829512	0.7788827625439703	0	5	neurotransmitter receptor diffusion trapping	BP	1
